"Labour force characteristics by industry, annual" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"Geography 2","North American Industry Classification System (NAICS) 3","Sex","Age group","Reference period","Labour force 4","Employment 5","Unemployment 6","Unemployment rate 7"
"",,,,,"Persons",,,"Percentage"
,,,,"2016","891.1 (x 1,000)","828.9 (x 1,000)","62.3 (x 1,000)","7.0"
,,,,"2017","895.2 (x 1,000)","848.1 (x 1,000)","47.1 (x 1,000)","5.3"
,,,,"2018","904.0 (x 1,000)","858.9 (x 1,000)","45.0 (x 1,000)","5.0"
,,,,"2019","930.4 (x 1,000)","885.7 (x 1,000)","44.7 (x 1,000)","4.8"
,,,,"2020","918.8 (x 1,000)","846.8 (x 1,000)","71.9 (x 1,000)","7.8"
,,,"15 to 24 years","2010","98.3 (x 1,000)","86.6 (x 1,000)","11.7 (x 1,000)","11.9"
,,,,"2011","95.7 (x 1,000)","83.4 (x 1,000)","12.3 (x 1,000)","12.9"
,,,,"2012","98.7 (x 1,000)","85.2 (x 1,000)","13.5 (x 1,000)","13.7"
,,,,"2013","98.5 (x 1,000)","84.8 (x 1,000)","13.7 (x 1,000)","13.9"
,,,,"2014","90.0 (x 1,000)","78.6 (x 1,000)","11.4 (x 1,000)","12.7"
,,,,"2015","87.4 (x 1,000)","77.6 (x 1,000)","9.8 (x 1,000)","11.2"
,,,,"2016","83.9 (x 1,000)","75.1 (x 1,000)","8.8 (x 1,000)","10.5"
,,,,"2017","84.4 (x 1,000)","76.2 (x 1,000)","8.2 (x 1,000)","9.7"
,,,,"2018","88.5 (x 1,000)","81.4 (x 1,000)","7.1 (x 1,000)","8.0"
,,,,"2019","85.7 (x 1,000)","78.3 (x 1,000)","7.4 (x 1,000)","8.6"
,,,,"2020","73.8 (x 1,000)","62.6 (x 1,000)","11.2 (x 1,000)","15.2"
,,,"25 to 54 years","2010","686.4 (x 1,000)","638.0 (x 1,000)","48.4 (x 1,000)","7.1"
,,,,"2011","687.4 (x 1,000)","643.2 (x 1,000)","44.2 (x 1,000)","6.4"
,,,,"2012","673.0 (x 1,000)","629.6 (x 1,000)","43.4 (x 1,000)","6.4"
,,,,"2013","666.8 (x 1,000)","626.5 (x 1,000)","40.3 (x 1,000)","6.0"
,,,,"2014","654.9 (x 1,000)","609.8 (x 1,000)","45.1 (x 1,000)","6.9"
,,,,"2015","616.7 (x 1,000)","573.7 (x 1,000)","43.0 (x 1,000)","7.0"
,,,,"2016","604.5 (x 1,000)","564.3 (x 1,000)","40.3 (x 1,000)","6.7"
,,,,"2017","603.4 (x 1,000)","574.8 (x 1,000)","28.6 (x 1,000)","4.7"
,,,,"2018","606.9 (x 1,000)","579.9 (x 1,000)","27.0 (x 1,000)","4.4"
,,,,"2019","618.7 (x 1,000)","590.7 (x 1,000)","28.1 (x 1,000)","4.5"
,,,,"2020","623.7 (x 1,000)","580.6 (x 1,000)","43.1 (x 1,000)","6.9"
,,,"55 years and over","2010","147.4 (x 1,000)","136.7 (x 1,000)","10.7 (x 1,000)","7.3"
,,,,"2011","157.2 (x 1,000)","145.9 (x 1,000)","11.3 (x 1,000)","7.2"
,,,,"2012","166.3 (x 1,000)","155.6 (x 1,000)","10.6 (x 1,000)","6.4"
,,,,"2013","184.3 (x 1,000)","170.5 (x 1,000)","13.8 (x 1,000)","7.5"
,,,,"2014","175.8 (x 1,000)","162.2 (x 1,000)","13.6 (x 1,000)","7.7"
,,,,"2015","188.1 (x 1,000)","173.6 (x 1,000)","14.5 (x 1,000)","7.7"
,,,,"2016","202.7 (x 1,000)","189.5 (x 1,000)","13.2 (x 1,000)","6.5"
,,,,"2017","207.4 (x 1,000)","197.1 (x 1,000)","10.3 (x 1,000)","5.0"
,,,,"2018","208.5 (x 1,000)","197.6 (x 1,000)","10.9 (x 1,000)","5.2"
,,,,"2019","226.0 (x 1,000)","216.7 (x 1,000)","9.3 (x 1,000)","4.1"
,,,,"2020","221.2 (x 1,000)","203.6 (x 1,000)","17.6 (x 1,000)","8.0"
,"Services-producing sector 10","Both sexes","15 years and over","2010","3,213.2 (x 1,000)","3,058.8 (x 1,000)","154.3 (x 1,000)","4.8"
,,,,"2011","3,230.9 (x 1,000)","3,091.0 (x 1,000)","139.9 (x 1,000)","4.3"
,,,,"2012","3,261.7 (x 1,000)","3,113.4 (x 1,000)","148.3 (x 1,000)","4.5"
,,,,"2013","3,285.9 (x 1,000)","3,144.6 (x 1,000)","141.3 (x 1,000)","4.3"
,,,,"2014","3,299.6 (x 1,000)","3,154.4 (x 1,000)","145.2 (x 1,000)","4.4"
,,,,"2015","3,357.6 (x 1,000)","3,209.8 (x 1,000)","147.8 (x 1,000)","4.4"
,,,,"2016","3,365.0 (x 1,000)","3,227.8 (x 1,000)","137.2 (x 1,000)","4.1"
,,,,"2017","3,424.9 (x 1,000)","3,310.5 (x 1,000)","114.4 (x 1,000)","3.3"
,,,,"2018","3,471.7 (x 1,000)","3,362.8 (x 1,000)","108.9 (x 1,000)","3.1"
,,,,"2019","3,530.2 (x 1,000)","3,422.4 (x 1,000)","107.8 (x 1,000)","3.1"
,,,,"2020","3,502.9 (x 1,000)","3,252.8 (x 1,000)","250.1 (x 1,000)","7.1"
,,,"15 to 24 years","2010","552.0 (x 1,000)","502.3 (x 1,000)","49.8 (x 1,000)","9.0"
,,,,"2011","545.9 (x 1,000)","503.8 (x 1,000)","42.1 (x 1,000)","7.7"
,,,,"2012","540.0 (x 1,000)","495.6 (x 1,000)","44.4 (x 1,000)","8.2"
,,,,"2013","536.4 (x 1,000)","496.9 (x 1,000)","39.5 (x 1,000)","7.4"
,,,,"2014","535.7 (x 1,000)","494.4 (x 1,000)","41.3 (x 1,000)","7.7"
,,,,"2015","534.0 (x 1,000)","491.7 (x 1,000)","42.3 (x 1,000)","7.9"
,,,,"2016","517.6 (x 1,000)","480.4 (x 1,000)","37.2 (x 1,000)","7.2"
,,,,"2017","513.3 (x 1,000)","484.9 (x 1,000)","28.4 (x 1,000)","5.5"
,,,,"2018","513.8 (x 1,000)","483.5 (x 1,000)","30.3 (x 1,000)","5.9"
,,,,"2019","537.0 (x 1,000)","509.0 (x 1,000)","28.0 (x 1,000)","5.2"
,,,,"2020","525.5 (x 1,000)","455.5 (x 1,000)","70.0 (x 1,000)","13.3"
,,,"25 to 54 years","2010","2,156.2 (x 1,000)","2,073.4 (x 1,000)","82.8 (x 1,000)","3.8"
,,,,"2011","2,157.3 (x 1,000)","2,080.5 (x 1,000)","76.9 (x 1,000)","3.6"
,,,,"2012","2,180.1 (x 1,000)","2,098.0 (x 1,000)","82.1 (x 1,000)","3.8"
,,,,"2013","2,163.2 (x 1,000)","2,087.9 (x 1,000)","75.3 (x 1,000)","3.5"
,,,,"2014","2,141.4 (x 1,000)","2,061.7 (x 1,000)","79.7 (x 1,000)","3.7"
,,,,"2015","2,186.4 (x 1,000)","2,107.6 (x 1,000)","78.8 (x 1,000)","3.6"
,,,,"2016","2,202.1 (x 1,000)","2,125.9 (x 1,000)","76.3 (x 1,000)","3.5"
,,,,"2017","2,232.1 (x 1,000)","2,165.5 (x 1,000)","66.6 (x 1,000)","3.0"
,,,,"2018","2,244.4 (x 1,000)","2,185.7 (x 1,000)","58.7 (x 1,000)","2.6"
,,,,"2019","2,266.7 (x 1,000)","2,208.7 (x 1,000)","58.0 (x 1,000)","2.6"
,,,,"2020","2,248.2 (x 1,000)","2,118.7 (x 1,000)","129.5 (x 1,000)","5.8"
,,,"55 years and over","2010","505.0 (x 1,000)","483.2 (x 1,000)","21.8 (x 1,000)","4.3"
,,,,"2011","527.7 (x 1,000)","506.7 (x 1,000)","20.9 (x 1,000)","4.0"
,,,,"2012","541.6 (x 1,000)","519.8 (x 1,000)","21.8 (x 1,000)","4.0"
,,,,"2013","586.3 (x 1,000)","559.8 (x 1,000)","26.5 (x 1,000)","4.5"
,,,,"2014","622.6 (x 1,000)","598.3 (x 1,000)","24.2 (x 1,000)","3.9"
,,,,"2015","637.2 (x 1,000)","610.5 (x 1,000)","26.8 (x 1,000)","4.2"
,,,,"2016","645.3 (x 1,000)","621.5 (x 1,000)","23.7 (x 1,000)","3.7"
,,,,"2017","679.5 (x 1,000)","660.1 (x 1,000)","19.3 (x 1,000)","2.8"
,,,,"2018","713.5 (x 1,000)","693.6 (x 1,000)","19.9 (x 1,000)","2.8"
,,,,"2019","726.6 (x 1,000)","704.8 (x 1,000)","21.9 (x 1,000)","3.0"
,,,,"2020","729.2 (x 1,000)","678.6 (x 1,000)","50.6 (x 1,000)","6.9"
,"Unclassified industries 11","Both sexes","15 years and over (x 1,000)","2010","120.8","..","120.8",".."
,,,,"2011","131.5","..","131.5",".."
,,,,"2012","121.5","..","121.5",".."
,,,,"2013","124.5","..","124.5",".."
,,,,"2014","122.9","..","122.9",".."
,,,,"2015","119.0","..","119.0",".."
,,,,"2016","113.9","..","113.9",".."
,,,,"2017","108.3","..","108.3",".."
,,,,"2018","91.5","..","91.5",".."
,,,,"2019","80.5","..","80.5",".."
,,,,"2020","76.1","..","76.1",".."
,,,"15 to 24 years (x 1,000)","2010","31.8","..","31.8",".."
,,,,"2011","34.5","..","34.5",".."
,,,,"2012","32.8","..","32.8",".."
,,,,"2013","31.8","..","31.8",".."
,,,,"2014","32.4","..","32.4",".."
,,,,"2015","30.0","..","30.0",".."
,,,,"2016","32.1","..","32.1",".."
,,,,"2017","25.5","..","25.5",".."
,,,,"2018","20.9","..","20.9",".."
,,,,"2019","19.4","..","19.4",".."
,,,,"2020","26.3","..","26.3",".."
,,,"25 to 54 years (x 1,000)","2010","72.4","..","72.4",".."
,,,,"2011","74.4","..","74.4",".."
,,,,"2012","70.6","..","70.6",".."
,,,,"2013","72.2","..","72.2",".."
,,,,"2014","69.0","..","69.0",".."
,,,,"2015","67.8","..","67.8",".."
,,,,"2016","60.6","..","60.6",".."
,,,,"2017","60.2","..","60.2",".."
,,,,"2018","50.0","..","50.0",".."
,,,,"2019","41.7","..","41.7",".."
,,,,"2020","38.6","..","38.6",".."
,,,"55 years and over (x 1,000)","2010","16.5","..","16.5",".."
,,,,"2011","22.6","..","22.6",".."
,,,,"2012","18.0","..","18.0",".."
,,,,"2013","20.5","..","20.5",".."
,,,,"2014","21.5","..","21.5",".."
,,,,"2015","21.2","..","21.2",".."
,,,,"2016","21.1","..","21.1",".."
,,,,"2017","22.6","..","22.6",".."
,,,,"2018","20.7","..","20.7",".."
,,,,"2019","19.4","..","19.4",".."
,,,,"2020","11.1","..","11.1",".."
"Ontario","Total, all industries 8","Both sexes","15 years and over","2010","7,138.0 (x 1,000)","6,514.6 (x 1,000)","623.4 (x 1,000)","8.7"
,,,,"2011","7,207.3 (x 1,000)","6,638.2 (x 1,000)","569.1 (x 1,000)","7.9"
,,,,"2012","7,238.7 (x 1,000)","6,666.7 (x 1,000)","572.0 (x 1,000)","7.9"
,,,,"2013","7,325.1 (x 1,000)","6,768.1 (x 1,000)","557.1 (x 1,000)","7.6"
,,,,"2014","7,345.3 (x 1,000)","6,809.1 (x 1,000)","536.1 (x 1,000)","7.3"
,,,,"2015","7,343.0 (x 1,000)","6,845.4 (x 1,000)","497.6 (x 1,000)","6.8"
,,,,"2016","7,408.9 (x 1,000)","6,921.4 (x 1,000)","487.5 (x 1,000)","6.6"
,,,,"2017","7,506.5 (x 1,000)","7,052.5 (x 1,000)","454.0 (x 1,000)","6.0"
,,,,"2018","7,608.9 (x 1,000)","7,173.3 (x 1,000)","435.5 (x 1,000)","5.7"
,,,,"2019","7,816.3 (x 1,000)","7,376.9 (x 1,000)","439.4 (x 1,000)","5.6"
,,,,"2020","7,766.0 (x 1,000)","7,021.6 (x 1,000)","744.4 (x 1,000)","9.6"
,,,"15 to 24 years","2010","1,094.8 (x 1,000)","908.4 (x 1,000)","186.4 (x 1,000)","17.0"
,,,,"2011","1,113.9 (x 1,000)","940.8 (x 1,000)","173.1 (x 1,000)","15.5"
,,,,"2012","1,092.3 (x 1,000)","911.3 (x 1,000)","181.0 (x 1,000)","16.6"
,,,,"2013","1,105.6 (x 1,000)","930.2 (x 1,000)","175.4 (x 1,000)","15.9"
,,,,"2014","1,112.5 (x 1,000)","943.4 (x 1,000)","169.1 (x 1,000)","15.2"
,,,,"2015","1,091.4 (x 1,000)","935.2 (x 1,000)","156.2 (x 1,000)","14.3"
,,,,"2016","1,077.3 (x 1,000)","929.3 (x 1,000)","148.1 (x 1,000)","13.7"
,,,,"2017","1,106.2 (x 1,000)","971.7 (x 1,000)","134.5 (x 1,000)","12.2"
,,,,"2018","1,126.7 (x 1,000)","994.1 (x 1,000)","132.6 (x 1,000)","11.8"
,,,,"2019","1,152.3 (x 1,000)","1,014.5 (x 1,000)","137.9 (x 1,000)","12.0"
,,,,"2020","1,099.7 (x 1,000)","857.6 (x 1,000)","242.1 (x 1,000)","22.0"
,,,"25 to 54 years","2010","4,838.6 (x 1,000)","4,479.9 (x 1,000)","358.8 (x 1,000)","7.4"
,,,,"2011","4,844.4 (x 1,000)","4,525.0 (x 1,000)","319.4 (x 1,000)","6.6"
,,,,"2012","4,845.6 (x 1,000)","4,530.8 (x 1,000)","314.8 (x 1,000)","6.5"
,,,,"2013","4,871.0 (x 1,000)","4,564.2 (x 1,000)","306.8 (x 1,000)","6.3"
,,,,"2014","4,818.3 (x 1,000)","4,528.3 (x 1,000)","290.0 (x 1,000)","6.0"
,,,,"2015","4,801.2 (x 1,000)","4,532.0 (x 1,000)","269.2 (x 1,000)","5.6"
,,,,"2016","4,814.1 (x 1,000)","4,550.4 (x 1,000)","263.7 (x 1,000)","5.5"
,,,,"2017","4,836.8 (x 1,000)","4,588.7 (x 1,000)","248.1 (x 1,000)","5.1"
,,,,"2018","4,882.5 (x 1,000)","4,648.4 (x 1,000)","234.0 (x 1,000)","4.8"
,,,,"2019","4,985.6 (x 1,000)","4,754.8 (x 1,000)","230.8 (x 1,000)","4.6"
,,,,"2020","4,962.4 (x 1,000)","4,579.6 (x 1,000)","382.7 (x 1,000)","7.7"
,,,"55 years and over","2010","1,204.5 (x 1,000)","1,126.3 (x 1,000)","78.2 (x 1,000)","6.5"
,,,,"2011","1,249.1 (x 1,000)","1,172.4 (x 1,000)","76.6 (x 1,000)","6.1"
,,,,"2012","1,300.7 (x 1,000)","1,224.6 (x 1,000)","76.1 (x 1,000)","5.9"
,,,,"2013","1,348.5 (x 1,000)","1,273.6 (x 1,000)","74.9 (x 1,000)","5.6"
,,,,"2014","1,414.5 (x 1,000)","1,337.4 (x 1,000)","77.1 (x 1,000)","5.5"
,,,,"2015","1,450.4 (x 1,000)","1,378.2 (x 1,000)","72.2 (x 1,000)","5.0"
,,,,"2016","1,517.5 (x 1,000)","1,441.8 (x 1,000)","75.7 (x 1,000)","5.0"
,,,,"2017","1,563.5 (x 1,000)","1,492.1 (x 1,000)","71.4 (x 1,000)","4.6"
,,,,"2018","1,599.7 (x 1,000)","1,530.8 (x 1,000)","68.9 (x 1,000)","4.3"
,,,,"2019","1,678.4 (x 1,000)","1,607.7 (x 1,000)","70.7 (x 1,000)","4.2"
,,,,"2020","1,704.0 (x 1,000)","1,584.4 (x 1,000)","119.6 (x 1,000)","7.0"
,"Goods-producing sector 9","Both sexes","15 years and over","2010","1,478.4 (x 1,000)","1,372.2 (x 1,000)","106.2 (x 1,000)","7.2"
,,,,"2011","1,483.6 (x 1,000)","1,397.4 (x 1,000)","86.2 (x 1,000)","5.8"
,,,,"2012","1,488.0 (x 1,000)","1,406.8 (x 1,000)","81.2 (x 1,000)","5.5"
,,,,"2013","1,463.1 (x 1,000)","1,381.0 (x 1,000)","82.1 (x 1,000)","5.6"
,,,,"2014","1,442.4 (x 1,000)","1,366.4 (x 1,000)","76.0 (x 1,000)","5.3"
,,,,"2015","1,470.9 (x 1,000)","1,393.8 (x 1,000)","77.0 (x 1,000)","5.2"
,,,,"2016","1,496.2 (x 1,000)","1,425.1 (x 1,000)","71.1 (x 1,000)","4.8"
,,,,"2017","1,503.3 (x 1,000)","1,439.4 (x 1,000)","63.9 (x 1,000)","4.3"
,,,,"2018","1,518.6 (x 1,000)","1,463.9 (x 1,000)","54.7 (x 1,000)","3.6"
,,,,"2019","1,529.0 (x 1,000)","1,467.3 (x 1,000)","61.7 (x 1,000)","4.0"
,,,,"2020","1,517.4 (x 1,000)","1,410.7 (x 1,000)","106.6 (x 1,000)","7.0"
,,,"15 to 24 years","2010","146.2 (x 1,000)","125.4 (x 1,000)","20.7 (x 1,000)","14.2"
,,,,"2011","152.5 (x 1,000)","133.9 (x 1,000)","18.5 (x 1,000)","12.1"
,,,,"2012","145.8 (x 1,000)","130.1 (x 1,000)","15.7 (x 1,000)","10.8"
,,,,"2013","150.1 (x 1,000)","133.1 (x 1,000)","17.0 (x 1,000)","11.3"
,,,,"2014","147.8 (x 1,000)","130.7 (x 1,000)","17.1 (x 1,000)","11.6"
,,,,"2015","148.4 (x 1,000)","133.4 (x 1,000)","14.9 (x 1,000)","10.0"
,,,,"2016","148.5 (x 1,000)","133.7 (x 1,000)","14.7 (x 1,000)","9.9"
,,,,"2017","167.2 (x 1,000)","152.5 (x 1,000)","14.7 (x 1,000)","8.8"
,,,,"2018","163.5 (x 1,000)","150.8 (x 1,000)","12.7 (x 1,000)","7.8"
,,,,"2019","152.7 (x 1,000)","138.3 (x 1,000)","14.3 (x 1,000)","9.4"
,,,,"2020","157.1 (x 1,000)","139.6 (x 1,000)","17.6 (x 1,000)","11.2"
,,,"25 to 54 years","2010","1,085.9 (x 1,000)","1,014.5 (x 1,000)","71.4 (x 1,000)","6.6"
,,,,"2011","1,070.8 (x 1,000)","1,014.8 (x 1,000)","56.0 (x 1,000)","5.2"
,,,,"2012","1,079.7 (x 1,000)","1,025.8 (x 1,000)","54.0 (x 1,000)","5.0"
,,,,"2013","1,040.9 (x 1,000)","988.1 (x 1,000)","52.8 (x 1,000)","5.1"
,,,,"2014","1,002.4 (x 1,000)","955.8 (x 1,000)","46.6 (x 1,000)","4.6"
,,,,"2015","1,007.2 (x 1,000)","957.7 (x 1,000)","49.4 (x 1,000)","4.9"
,,,,"2016","1,020.1 (x 1,000)","976.9 (x 1,000)","43.1 (x 1,000)","4.2"
,,,,"2017","998.6 (x 1,000)","960.2 (x 1,000)","38.3 (x 1,000)","3.8"
,,,,"2018","1,017.8 (x 1,000)","987.4 (x 1,000)","30.4 (x 1,000)","3.0"
,,,,"2019","1,000.4 (x 1,000)","964.1 (x 1,000)","36.4 (x 1,000)","3.6"
,,,,"2020","986.7 (x 1,000)","921.2 (x 1,000)","65.6 (x 1,000)","6.6"
,,,"55 years and over","2010","246.4 (x 1,000)","232.3 (x 1,000)","14.1 (x 1,000)","5.7"
,,,,"2011","260.3 (x 1,000)","248.6 (x 1,000)","11.7 (x 1,000)","4.5"
,,,,"2012","262.5 (x 1,000)","251.0 (x 1,000)","11.5 (x 1,000)","4.4"
,,,,"2013","272.1 (x 1,000)","259.8 (x 1,000)","12.3 (x 1,000)","4.5"
,,,,"2014","292.2 (x 1,000)","280.0 (x 1,000)","12.3 (x 1,000)","4.2"
,,,,"2015","315.3 (x 1,000)","302.6 (x 1,000)","12.7 (x 1,000)","4.0"
,,,,"2016","327.6 (x 1,000)","314.4 (x 1,000)","13.3 (x 1,000)","4.1"
,,,,"2017","337.5 (x 1,000)","326.6 (x 1,000)","10.9 (x 1,000)","3.2"
,,,,"2018","337.3 (x 1,000)","325.7 (x 1,000)","11.6 (x 1,000)","3.4"
,,,,"2019","375.9 (x 1,000)","364.9 (x 1,000)","11.0 (x 1,000)","2.9"
,,,,"2020","373.5 (x 1,000)","350.0 (x 1,000)","23.5 (x 1,000)","6.3"
,"Services-producing sector 10","Both sexes","15 years and over","2010","5,400.1 (x 1,000)","5,142.4 (x 1,000)","257.8 (x 1,000)","4.8"
,,,,"2011","5,474.0 (x 1,000)","5,240.8 (x 1,000)","233.1 (x 1,000)","4.3"
,,,,"2012","5,495.6 (x 1,000)","5,259.9 (x 1,000)","235.7 (x 1,000)","4.3"
,,,,"2013","5,621.6 (x 1,000)","5,387.1 (x 1,000)","234.5 (x 1,000)","4.2"
,,,,"2014","5,667.9 (x 1,000)","5,442.7 (x 1,000)","225.1 (x 1,000)","4.0"
,,,,"2015","5,657.9 (x 1,000)","5,451.6 (x 1,000)","206.3 (x 1,000)","3.6"
,,,,"2016","5,703.7 (x 1,000)","5,496.3 (x 1,000)","207.4 (x 1,000)","3.6"
,,,,"2017","5,800.7 (x 1,000)","5,613.1 (x 1,000)","187.6 (x 1,000)","3.2"
,,,,"2018","5,897.5 (x 1,000)","5,709.5 (x 1,000)","188.1 (x 1,000)","3.2"
,,,,"2019","6,105.6 (x 1,000)","5,909.7 (x 1,000)","195.9 (x 1,000)","3.2"
,,,,"2020","6,035.9 (x 1,000)","5,610.9 (x 1,000)","424.9 (x 1,000)","7.0"
,,,"15 to 24 years","2010","865.2 (x 1,000)","783.0 (x 1,000)","82.2 (x 1,000)","9.5"
,,,,"2011","877.0 (x 1,000)","806.8 (x 1,000)","70.1 (x 1,000)","8.0"
,,,,"2012","858.5 (x 1,000)","781.2 (x 1,000)","77.2 (x 1,000)","9.0"
,,,,"2013","870.0 (x 1,000)","797.1 (x 1,000)","72.9 (x 1,000)","8.4"
,,,,"2014","882.1 (x 1,000)","812.8 (x 1,000)","69.4 (x 1,000)","7.9"
,,,,"2015","866.0 (x 1,000)","801.8 (x 1,000)","64.2 (x 1,000)","7.4"
,,,,"2016","855.9 (x 1,000)","795.5 (x 1,000)","60.4 (x 1,000)","7.1"
,,,,"2017","874.9 (x 1,000)","819.2 (x 1,000)","55.7 (x 1,000)","6.4"
,,,,"2018","899.6 (x 1,000)","843.3 (x 1,000)","56.3 (x 1,000)","6.3"
,,,,"2019","936.2 (x 1,000)","876.1 (x 1,000)","60.0 (x 1,000)","6.4"
,,,,"2020","853.1 (x 1,000)","718.0 (x 1,000)","135.1 (x 1,000)","15.8"
,,,"25 to 54 years","2010","3,615.5 (x 1,000)","3,465.3 (x 1,000)","150.2 (x 1,000)","4.2"
,,,,"2011","3,643.7 (x 1,000)","3,510.1 (x 1,000)","133.6 (x 1,000)","3.7"
,,,,"2012","3,634.7 (x 1,000)","3,505.0 (x 1,000)","129.6 (x 1,000)","3.6"
,,,,"2013","3,707.6 (x 1,000)","3,576.1 (x 1,000)","131.4 (x 1,000)","3.5"
,,,,"2014","3,696.7 (x 1,000)","3,572.6 (x 1,000)","124.1 (x 1,000)","3.4"
,,,,"2015","3,689.3 (x 1,000)","3,574.2 (x 1,000)","115.0 (x 1,000)","3.1"
,,,,"2016","3,694.2 (x 1,000)","3,573.4 (x 1,000)","120.8 (x 1,000)","3.3"
,,,,"2017","3,733.8 (x 1,000)","3,628.5 (x 1,000)","105.3 (x 1,000)","2.8"
,,,,"2018","3,765.2 (x 1,000)","3,661.0 (x 1,000)","104.2 (x 1,000)","2.8"
,,,,"2019","3,894.8 (x 1,000)","3,790.7 (x 1,000)","104.1 (x 1,000)","2.7"
,,,,"2020","3,880.9 (x 1,000)","3,658.5 (x 1,000)","222.4 (x 1,000)","5.7"
,,,"55 years and over","2010","919.4 (x 1,000)","894.0 (x 1,000)","25.4 (x 1,000)","2.8"
,,,,"2011","953.2 (x 1,000)","923.8 (x 1,000)","29.4 (x 1,000)","3.1"
,,,,"2012","1,002.5 (x 1,000)","973.6 (x 1,000)","28.9 (x 1,000)","2.9"
,,,,"2013","1,044.1 (x 1,000)","1,013.8 (x 1,000)","30.2 (x 1,000)","2.9"
,,,,"2014","1,089.0 (x 1,000)","1,057.4 (x 1,000)","31.6 (x 1,000)","2.9"
,,,,"2015","1,102.6 (x 1,000)","1,075.5 (x 1,000)","27.1 (x 1,000)","2.5"
,,,,"2016","1,153.6 (x 1,000)","1,127.4 (x 1,000)","26.2 (x 1,000)","2.3"
,,,,"2017","1,192.0 (x 1,000)","1,165.4 (x 1,000)","26.6 (x 1,000)","2.2"
,,,,"2018","1,232.7 (x 1,000)","1,205.1 (x 1,000)","27.6 (x 1,000)","2.2"
,,,,"2019","1,274.6 (x 1,000)","1,242.8 (x 1,000)","31.7 (x 1,000)","2.5"
,,,,"2020","1,301.8 (x 1,000)","1,234.4 (x 1,000)","67.4 (x 1,000)","5.2"
,"Unclassified industries 11","Both sexes","15 years and over (x 1,000)","2010","259.4","..","259.4",".."
,,,,"2011","249.8","..","249.8",".."
,,,,"2012","255.1","..","255.1",".."
,,,,"2013","240.5","..","240.5",".."
,,,,"2014","235.0","..","235.0",".."
,,,,"2015","214.2","..","214.2",".."
,,,,"2016","209.0","..","209.0",".."
,,,,"2017","202.5","..","202.5",".."
,,,,"2018","192.7","..","192.7",".."
,,,,"2019","181.8","..","181.8",".."
,,,,"2020","212.8","..","212.8",".."
,,,"15 to 24 years (x 1,000)","2010","83.4","..","83.4",".."
,,,,"2011","84.4","..","84.4",".."
,,,,"2012","88.1","..","88.1",".."
,,,,"2013","85.5","..","85.5",".."
,,,,"2014","82.6","..","82.6",".."
,,,,"2015","77.0","..","77.0",".."
,,,,"2016","73.0","..","73.0",".."
,,,,"2017","64.0","..","64.0",".."
,,,,"2018","63.6","..","63.6",".."
,,,,"2019","63.5","..","63.5",".."
,,,,"2020","89.4","..","89.4",".."
,,,"25 to 54 years (x 1,000)","2010","137.2","..","137.2",".."
,,,,"2011","129.9","..","129.9",".."
,,,,"2012","131.2","..","131.2",".."
,,,,"2013","122.5","..","122.5",".."
,,,,"2014","119.2","..","119.2",".."
,,,,"2015","104.7","..","104.7",".."
,,,,"2016","99.8","..","99.8",".."
,,,,"2017","104.5","..","104.5",".."
,,,,"2018","99.4","..","99.4",".."
,,,,"2019","90.3","..","90.3",".."
,,,,"2020","94.7","..","94.7",".."
,,,"55 years and over (x 1,000)","2010","38.7","..","38.7",".."
,,,,"2011","35.5","..","35.5",".."
,,,,"2012","35.8","..","35.8",".."
,,,,"2013","32.4","..","32.4",".."
,,,,"2014","33.2","..","33.2",".."
,,,,"2015","32.5","..","32.5",".."
,,,,"2016","36.2","..","36.2",".."
,,,,"2017","34.0","..","34.0",".."
,,,,"2018","29.8","..","29.8",".."
,,,,"2019","28.0","..","28.0",".."
,,,,"2020","28.7","..","28.7",".."
"Manitoba","Total, all industries 8","Both sexes","15 years and over","2010","642.4 (x 1,000)","607.4 (x 1,000)","35.0 (x 1,000)","5.4"
,,,,"2011","647.5 (x 1,000)","612.0 (x 1,000)","35.5 (x 1,000)","5.5"
,,,,"2012","653.8 (x 1,000)","618.9 (x 1,000)","34.8 (x 1,000)","5.3"
,,,,"2013","658.0 (x 1,000)","622.4 (x 1,000)","35.6 (x 1,000)","5.4"
,,,,"2014","658.7 (x 1,000)","623.1 (x 1,000)","35.6 (x 1,000)","5.4"
,,,,"2015","670.5 (x 1,000)","632.7 (x 1,000)","37.8 (x 1,000)","5.6"
,,,,"2016","672.3 (x 1,000)","630.9 (x 1,000)","41.4 (x 1,000)","6.2"
,,,,"2017","678.4 (x 1,000)","641.8 (x 1,000)","36.6 (x 1,000)","5.4"
,,,,"2018","690.5 (x 1,000)","649.0 (x 1,000)","41.5 (x 1,000)","6.0"
,,,,"2019","692.4 (x 1,000)","655.4 (x 1,000)","37.0 (x 1,000)","5.3"
,,,,"2020","685.8 (x 1,000)","630.9 (x 1,000)","54.9 (x 1,000)","8.0"
,,,"15 to 24 years","2010","110.8 (x 1,000)","98.5 (x 1,000)","12.2 (x 1,000)","11.0"
,,,,"2011","111.6 (x 1,000)","99.0 (x 1,000)","12.6 (x 1,000)","11.3"
,,,,"2012","112.8 (x 1,000)","100.3 (x 1,000)","12.5 (x 1,000)","11.1"
