Geography,Year,Exp. based GDP (2012 chained C$),Exp. based GDP (current C$),Income based GDP,Industry GDP (current C$),Industry GDP (2012 chained C$),CPI (all items),CPI (gasoline),Labour force (persons*1000),"Employment (persons*1,000)","Unemployment (persons*1,000)",Unemployment rate,Population,Exp. based GDP per capita (2012 chained C$),Exp. based GDP per capita (current C$),Income based GDP per capita,Industry GDP per capita (current C$),Industry GDP per capita (2012 chained C$)
Saskatchewan,2019,86611.0,82917.0,82917.0,0.0,81383.6,139.9,155.6,1209.1,1141.8,67.2,0.2565452296051486,1172302.0,73881.1330186249,70730.06784941081,70730.06784941081,0.0,69422.04312540626
Alberta,2010,282702.0,270203.0,270203.0,261591.0,272172.0,122.7,143.3,4327.7,4042.1,285.59999999999997,0.28549938534149544,3732082.0,75749.13948836066,72400.07052363802,72400.07052363802,70092.51136497,72927.65807396514
Alberta,2011,300948.0,299689.0,299689.0,289920.6,290513.8,125.7,170.7,4431.6,4189.4,242.20000000000002,0.2504980045532456,3789030.0,79426.13280971647,79093.85779473903,79093.85779473903,76515.78372301089,76672.34094214086
Alberta,2012,312708.0,312707.0,312707.0,302132.0,302130.7,127.1,173.2,4518.7,4307.8,211.0,0.21427044683538643,3874548.0,80708.2529368587,80707.99484223708,80707.99484223708,77978.64421862885,77978.30869562076
Alberta,2013,330548.0,342646.0,342646.0,331477.2,319548.1,128.9,173.1,4611.2,4398.299999999999,212.8,0.21205518221416372,3981011.0,83031.16972045544,86070.09626449161,86070.09626449161,83264.57776680346,80268.0776315363
Alberta,2014,350033.0,376807.0,376807.0,365191.1,338262.6,132.2,175.6,4695.8,4473.6,222.2,0.22036289393405192,4083648.0,85715.76198536211,92272.1547008949,92272.1547008949,89427.66369677307,82833.43716206685
Alberta,2015,337069.0,324054.0,324054.0,311906.0,326476.7,133.7,147.3,4782.900000000001,4492.8,290.1,0.2663149951758951,4144491.0,81329.4081227345,78189.0948731702,78189.0948731702,75257.97498414159,78773.65399032112
Alberta,2016,325421.0,304294.0,304294.0,292561.7,314599.4,135.2,136.3,4782.0,4391.3,390.7,0.3627876955518675,4196061.0,77553.92497868834,72518.96481009213,72518.96481009213,69722.9377742602,74974.93482578066
Alberta,2017,340062.0,332256.0,332256.0,319212.0,327996.2,137.3,154.3,4824.199999999999,4441.7,382.59999999999997,0.3613591357213728,4241100.0,80182.49982315909,78341.93959114382,78341.93959114382,75266.32241635425,77337.53035769022
Alberta,2018,346611.0,343705.0,343705.0,0.0,334345.3,140.6,183.1,4850.6,4527.2,323.3,0.3073864512112143,4298275.0,80639.55889281166,79963.47371910825,79963.47371910825,0.0,77785.92574928314
